fpr,tpr,threshold,auc,variant
0.04428321240930698,0.2531304485655413,0.7262756288224275,0.7191682793637468,no_nlcd
0.04453340005003753,0.2531304485655413,0.7262754560148302,0.7191682793637468,no_nlcd
0.04453340005003753,0.25328895229037884,0.7262753686795346,0.7191682793637468,no_nlcd
0.045033775331498625,0.25328895229037884,0.7262751873365908,0.7191682793637468,no_nlcd
0.045033775331498625,0.25344745601521634,0.7262749773046225,0.7191682793637468,no_nlcd
0.04528396297222917,0.25344745601521634,0.726274966588121,0.7191682793637468,no_nlcd
0.04528396297222917,0.25439847836424156,0.7262742157077471,0.7191682793637468,no_nlcd
0.04553415061295972,0.25439847836424156,0.7262740267778953,0.7191682793637468,no_nlcd
0.04553415061295972,0.2559835156126169,0.7262719681614422,0.7191682793637468,no_nlcd
0.04578433825369027,0.2559835156126169,0.7262719037822337,0.7191682793637468,no_nlcd
0.04578433825369027,0.2574100491361547,0.72627128167645,0.7191682793637468,no_nlcd
0.046034525894420815,0.2574100491361547,0.7262710632003158,0.7191682793637468,no_nlcd
0.046034525894420815,0.25756855286099223,0.726270978904162,0.7191682793637468,no_nlcd
0.046284713535151366,0.25756855286099223,0.7262708519030501,0.7191682793637468,no_nlcd
0.046284713535151366,0.2582025677603424,0.7262707279126966,0.7191682793637468,no_nlcd
0.047035276457343005,0.2582025677603424,0.7262702191977318,0.7191682793637468,no_nlcd
0.047035276457343005,0.25851957521001745,0.7262699398844894,0.7191682793637468,no_nlcd
0.047285464098073555,0.25851957521001745,0.7262697870053156,0.7191682793637468,no_nlcd
0.047285464098073555,0.2588365826596925,0.7262695492411332,0.7191682793637468,no_nlcd
0.047535651738804106,0.2588365826596925,0.7262695447213506,0.7191682793637468,no_nlcd
0.047535651738804106,0.25962910128388017,0.7262692378027114,0.7191682793637468,no_nlcd
0.0480360270202652,0.25962910128388017,0.7262688065704733,0.7191682793637468,no_nlcd
0.0480360270202652,0.2601046124583928,0.7262686389355356,0.7191682793637468,no_nlcd
